date,employee_id,product_id,num_items
2023-01-02,7873,8152,1
2023-01-02,6327,5216,2
2023-01-02,7873,8152,3
2023-01-02,7873,8152,5
2023-01-02,3187,8152,5
2023-01-02,7873,5216,6
2023-01-02,6327,8152,6
2023-01-02,3187,8152,8
2023-01-02,2278,5216,9
2023-01-03,4258,5216,4
2023-01-03,6327,8152,6
2023-01-03,4399,5216,8
2023-01-04,8685,5216,1
2023-01-04,1305,4409,1
2023-01-04,3187,4432,4
2023-01-04,6985,5216,4
2023-01-04,1305,4409,4
2023-01-04,4399,4409,5
2023-01-04,3260,8152,6
2023-01-04,7451,8152,7
2023-01-04,6338,3183,9
2023-01-05,6327,4432,4
2023-01-05,4399,8152,5
2023-01-05,4399,5216,9
2023-01-06,6985,5216,8
2023-01-06,1305,8152,9
2023-01-07,8685,3183,1
2023-01-07,4258,4409,5
2023-01-07,784,651,8
2023-01-07,9712,4409,8
2023-01-07,6316,651,8
2023-01-07,5240,8152,9
2023-01-07,6749,8152,10
2023-01-08,7536,8152,2
2023-01-08,1305,3183,5
2023-01-08,736,4432,6
2023-01-08,3260,5216,8
2023-01-08,1445,4432,9
2023-01-08,4399,651,10
2023-01-08,7611,6369,10
2023-01-09,1557,4432,1
2023-01-09,1557,5216,5
2023-01-10,8379,651,4
2023-01-11,4280,651,1
2023-01-11,6327,4409,2
2023-01-11,6316,3468,4
2023-01-11,9712,7444,8
2023-01-11,3497,8152,8
2023-01-11,1670,7444,9
2023-01-12,6985,8872,1
2023-01-12,6784,3552,4
2023-01-12,4230,1988,5
2023-01-12,784,651,7
2023-01-12,3490,8872,9
2023-01-13,2278,3468,2
2023-01-13,784,651,2
2023-01-13,1515,7444,3
2023-01-13,5178,8872,4
2023-01-13,4860,4409,5
2023-01-13,6545,8804,6
2023-01-13,2278,3552,8
2023-01-14,6045,8658,1
2023-01-14,1305,8658,1
2023-01-14,1188,6762,7
2023-01-14,3846,3468,9
2023-01-14,6181,4409,10
2023-01-15,3516,8658,6
2023-01-15,1224,9990,7
2023-01-16,3333,8658,3
2023-01-16,3519,5216,5
2023-01-16,8532,8152,5
2023-01-16,9458,8558,8
2023-01-16,736,8658,8
2023-01-16,5154,4432,8
2023-01-16,1305,8558,9
2023-01-16,8302,3183,9
2023-01-16,9210,7444,10
2023-01-17,2239,6369,1
2023-01-17,9733,3571,1
2023-01-17,4280,5216,2
2023-01-17,4258,4928,4
2023-01-17,1515,3126,5
2023-01-17,2469,43,5
2023-01-17,4923,8558,6
2023-01-17,784,6369,7
2023-01-18,9712,8558,1
2023-01-18,4851,9990,2
2023-01-18,1257,8152,2
2023-01-18,5154,3183,4
2023-01-18,3493,4928,7
2023-01-18,1224,3571,8
2023-01-18,7103,1,8
2023-01-18,7873,6762,10
2023-01-18,6784,3571,10
2023-01-19,3017,8872,1
2023-01-19,1347,4409,2
2023-01-19,784,1988,2
2023-01-19,9669,3183,2
2023-01-19,9770,8804,2
2023-01-19,5219,4928,2
2023-01-19,6338,3366,3
2023-01-19,6692,7444,4
2023-01-19,6338,8804,5
2023-01-19,4860,3552,7
2023-01-20,6045,3220,3
2023-01-21,7873,8804,2
2023-01-21,7611,4928,3
2023-01-21,6998,6436,5
2023-01-21,3490,7444,6
2023-01-21,4923,43,7
2023-01-21,1305,651,9
2023-01-22,4280,3832,4
2023-01-22,724,3832,7
2023-01-22,1445,8658,8
2023-01-23,2937,8176,5
2023-01-23,7451,6369,7
2023-01-23,6692,6436,8
2023-01-23,6045,43,9
2023-01-23,6784,3468,9
2023-01-23,7103,172,10
2023-01-24,6517,9990,3
2023-01-24,1305,9531,3
2023-01-24,8022,7444,7
2023-01-24,5178,8152,7
2023-01-24,1305,8176,8
2023-01-24,5178,8152,10
2023-01-24,9669,7320,10
2023-01-25,3017,1988,9
2023-01-25,9240,4409,10
2023-01-27,8901,7320,4
2023-01-27,9458,7481,7
2023-01-28,1838,8658,1
2023-01-28,3260,7444,1
2023-01-28,4901,3552,2
2023-01-28,7598,8804,3
2023-01-28,4258,8152,7
2023-01-28,7809,8176,8
2023-01-28,3749,3552,8
2023-01-28,4928,1584,10
2023-01-28,9190,7287,10
2023-01-29,9193,651,1
2023-01-29,6316,6436,5
2023-01-29,8840,4928,5
2023-01-30,4483,9990,1
2023-01-30,5805,4928,2
2023-01-30,1038,43,4
2023-01-30,6045,6436,6
2023-01-30,1453,9990,10
2023-01-30,3517,7481,10
2023-01-31,7403,4451,6
2023-02-01,724,8804,1
2023-02-01,9770,5216,4
2023-02-01,9896,9990,6
2023-02-01,8022,3366,10
2023-02-02,4970,6369,2
2023-02-02,1407,9990,3
2023-02-02,8936,9720,5
2023-02-02,8930,3468,7
2023-02-02,1347,3832,8
2023-02-02,5595,8658,10
2023-02-03,1453,9531,2
2023-02-03,6338,175,3
2023-02-03,7809,1,3
2023-02-03,3232,1502,4
2023-02-03,2311,1698,5
2023-02-03,6096,7320,6
2023-02-03,4399,1593,9
2023-02-03,2469,3126,10
2023-02-04,2311,3220,1
2023-02-04,5412,172,1
2023-02-04,6998,7444,4
2023-02-04,3380,3183,7
2023-02-06,9396,1749,1
2023-02-06,4678,1988,3
2023-02-07,4726,9531,2
2023-02-07,9669,1638,5
2023-02-07,2188,8872,6
2023-02-07,8685,7444,6
2023-02-07,9770,3468,7
2023-02-07,8511,6759,8
2023-02-07,1357,175,8
2023-02-07,8875,680,9
2023-02-07,9712,1988,9
2023-02-08,7403,8152,1
2023-02-08,1188,4928,1
2023-02-08,6749,1749,3
2023-02-08,2114,172,4
2023-02-08,7354,1593,5
2023-02-08,6985,4409,6
2023-02-08,8661,2405,6
2023-02-08,1188,43,8
2023-02-08,5154,2405,8
2023-02-08,4928,1751,9
2023-02-09,8936,8658,2
2023-02-09,3230,6369,4
2023-02-09,1670,3183,4
2023-02-09,6394,3183,5
2023-02-09,426,4753,6
2023-02-09,8661,6436,7
2023-02-09,4901,3468,7
2023-02-09,4202,8804,8
2023-02-09,3333,8152,8
2023-02-09,9190,6762,9
2023-02-10,1762,4432,2
2023-02-10,3493,4432,3
2023-02-10,1347,1749,3
2023-02-10,797,1751,8
2023-02-10,9983,1,10
2023-02-11,5412,1,2
2023-02-11,8832,8872,3
2023-02-11,6749,9531,4
2023-02-11,3352,3832,5
2023-02-11,3516,9990,7
2023-02-11,7611,8872,7
2023-02-11,8985,3220,8
2023-02-11,2736,8176,9
2023-02-11,45,7481,9
2023-02-11,9922,7481,9
2023-02-12,4860,8176,1
2023-02-12,4004,7444,1
2023-02-12,4075,6720,2
2023-02-12,4726,4432,3
2023-02-12,9376,7444,3
2023-02-12,8532,6727,6
2023-02-12,8832,3058,9
2023-02-12,8541,4432,10
2023-02-13,3331,9990,1
2023-02-13,736,172,2
2023-02-13,6096,6369,2
2023-02-13,7910,3468,2
2023-02-13,2311,1751,4
2023-02-13,8832,8872,5
2023-02-13,5048,43,5
2023-02-13,1407,9950,10
2023-02-14,9193,1444,1
2023-02-14,966,8658,5
2023-02-14,8832,9531,6
2023-02-15,9770,8152,2
2023-02-15,3516,3552,2
2023-02-15,7354,3058,2
2023-02-15,9910,43,3
2023-02-15,2114,1988,5
2023-02-15,2881,1,5
2023-02-15,4928,6202,8
2023-02-15,7451,9531,8
2023-02-15,3519,1,9
2023-02-15,1305,8176,9
2023-02-16,5048,3552,3
2023-02-16,8302,8658,4
2023-02-16,797,7840,5
2023-02-16,4943,9720,5
2023-02-16,5178,6762,5
2023-02-16,9325,3210,6
2023-02-16,1169,6200,7
2023-02-17,404,7840,2
2023-02-17,7828,6202,7
2023-02-18,281,1988,1
2023-02-18,8832,3832,5
2023-02-18,7813,6851,6
2023-02-18,8532,2647,7
2023-02-18,8532,8658,8
2023-02-18,4202,3210,9
2023-02-18,2052,3974,10
2023-02-19,5805,6369,6
2023-02-19,9506,8921,8
2023-02-20,9186,651,1
2023-02-20,2806,8176,1
2023-02-20,4851,7320,4
2023-02-20,8832,6762,5
2023-02-20,6083,3210,8
2023-02-20,1347,7398,10
2023-02-20,4500,3366,10
2023-02-21,5163,7481,1
2023-02-21,1347,172,2
2023-02-21,5154,8558,4
2023-02-21,6791,4753,5
2023-02-21,7809,8921,5
